time_s,ref_deg,actual_deg,error_deg,current_A
1.529999999999999971e-01,9.240394736842104662e-01,2.976038198722159578e-01,6.264356538119945084e-01,1.951607435046545191e+01
1.539999999999999980e-01,9.361578947368419668e-01,3.036538696912458590e-01,6.325040250455959967e-01,1.953525198639472293e+01
1.549999999999999989e-01,9.483552631578947567e-01,3.097742601072183688e-01,6.385810030506763324e-01,1.955428060457139949e+01
1.559999999999999998e-01,9.606315789473683919e-01,3.159652288400050524e-01,6.446663501073633951e-01,1.957316109968133233e+01
1.570000000000000007e-01,9.729868421052630945e-01,3.222270117151161961e-01,6.507598303901469539e-01,1.959189436158147046e+01
1.580000000000000016e-01,9.854210526315788643e-01,3.285598426752102119e-01,6.568612099563686524e-01,1.961048127532202656e+01
1.590000000000000024e-01,9.979342105263158125e-01,3.349639537915421461e-01,6.629702567347737219e-01,1.962892272116852155e+01
1.600000000000000033e-01,1.010526315789473717e+00,3.414395752753518476e-01,6.690867405141218693e-01,1.964721957462374746e+01
1.610000000000000042e-01,1.023197368421052467e+00,3.479869354891915734e-01,6.752104329318610043e-01,1.966537270644963797e+01
1.620000000000000051e-01,1.035947368421052728e+00,3.546062609581944192e-01,6.813411074628582531e-01,1.968338298268903586e+01
1.630000000000000060e-01,1.048776315789473834e+00,3.612977763812822984e-01,6.874785394081914802e-01,1.970125126468738230e+01
1.640000000000000069e-01,1.061684210526315786e+00,3.680617046423151906e-01,6.936225058840006508e-01,1.971897840911430322e+01
1.650000000000000078e-01,1.074671052631579027e+00,3.748982668211809921e-01,6.997727858103980347e-01,1.973656526798509603e+01
1.660000000000000087e-01,1.087736842105263113e+00,3.818076822048268038e-01,7.059291599004363649e-01,1.975401268868213833e+01
1.670000000000000095e-01,1.100881578947368711e+00,3.887901682982317642e-01,7.120914106491368356e-01,1.977132151397621485e+01
1.680000000000000104e-01,1.114105263157894932e+00,3.958459408353213749e-01,7.182593223225733903e-01,1.978849258204771999e+01
1.690000000000000113e-01,1.127407894736842220e+00,4.029752137898242048e-01,7.244326809470179596e-01,1.980552672650778945e+01
1.700000000000000122e-01,1.140789473684210575e+00,4.101781993860708631e-01,7.306112742981397679e-01,1.982242477641935707e+01
1.710000000000000131e-01,1.154249999999999998e+00,4.174551081097356287e-01,7.367948918902643696e-01,1.983918755631809105e+01
1.720000000000000140e-01,1.167789473684210710e+00,4.248061487185207930e-01,7.429833249656898619e-01,1.985581588623325544e+01
1.730000000000000149e-01,1.181407894736842268e+00,4.322315282527846581e-01,7.491763664840577208e-01,1.987231058170848286e+01
1.740000000000000158e-01,1.195105263157894893e+00,4.397314520461121368e-01,7.553738111117827003e-01,1.988867245382247262e+01
1.750000000000000167e-01,1.208881578947368585e+00,4.473061237358302300e-01,7.615754552115383547e-01,1.990490230920956094e+01
1.759999999999999898e-01,1.222736842105262900e+00,4.549557452734663276e-01,7.677810968317966278e-01,1.992100095008024851e+01
1.769999999999999907e-01,1.236671052631578727e+00,4.626805169351518310e-01,7.739905356964269512e-01,1.993696917424159665e+01
1.779999999999999916e-01,1.250684210526315621e+00,4.704806373319694313e-01,7.802035731943461894e-01,1.995280777511758430e+01
1.789999999999999925e-01,1.264776315789473582e+00,4.783563034202455988e-01,7.864200123692279831e-01,1.996851754176933014e+01
1.799999999999999933e-01,1.278947368421052388e+00,4.863077105117884491e-01,7.926396579092639394e-01,1.998409925891526839e+01
1.809999999999999942e-01,1.293197368421052484e+00,4.943350522840701533e-01,7.988623161369823311e-01,1.999955370695120394e+01
1.819999999999999951e-01,1.307526315789473426e+00,5.024385207903556694e-01,8.050877949991177562e-01,2.001488166197031759e+01
1.829999999999999960e-01,1.321934210526315656e+00,5.106183064697769058e-01,8.113159040565388613e-01,2.003008389578304360e+01
1.839999999999999969e-01,1.336421052631578954e+00,5.188745981573534838e-01,8.175464544742254702e-01,2.004516117593690439e+01
1.849999999999999978e-01,1.350986842105262875e+00,5.272075830939588759e-01,8.237792590113041102e-01,2.006011426573622813e+01
1.859999999999999987e-01,1.365631578947368530e+00,5.356174469362346979e-01,8.300141320111338317e-01,2.007494392426179886e+01
1.869999999999999996e-01,1.380355263157894585e+00,5.441043737664503777e-01,8.362508893914440966e-01,2.008965090639041762e+01
1.880000000000000004e-01,1.395157894736841930e+00,5.526685461023110868e-01,8.424893486345308435e-01,2.010423596281438563e+01
1.890000000000000013e-01,1.410039473684210565e+00,5.613101449067123827e-01,8.487293287774981820e-01,2.011869984006088785e+01
1.900000000000000022e-01,1.424999999999999822e+00,5.700293495974426694e-01,8.549706504025571530e-01,2.013304328051131620e+01
1.910000000000000031e-01,1.440039473684210591e+00,5.788263380568344774e-01,8.612131356273762250e-01,2.014726702242048262e+01
1.920000000000000040e-01,1.455157894736842206e+00,5.877012866413620085e-01,8.674566080954801972e-01,2.016137179993578599e+01
1.930000000000000049e-01,1.470355263157894665e+00,5.966543701911890540e-01,8.737008929667057222e-01,2.017535834311625820e+01
1.940000000000000058e-01,1.485631578947368636e+00,6.056857620396643993e-01,8.799458169077041259e-01,2.018922737795155342e+01
1.950000000000000067e-01,1.500986842105263230e+00,6.147956340227666017e-01,8.861912080824966287e-01,2.020297962638085210e+01
